surveyuniqueid;Field;FieldOther;Whatisyourcurrentemploymentstatus;Employment;Gender;YearBorn;PHD10OTHERWISE;AverageRBudget;GovernmentFunds;useofsc;importance;frequence_of_purch;importancePrice;costMostExpensive;Purchase_collab;in_charge_purchase;collaboration_withFirm;price_latest_purchase;functionality_better_thanPrice;aReputation_better_thanPrice;cBrand_better_thanPrice;aReputation_better_thanC_brand;cBrand_better_thanFunctionality;aReputation_better_thanFunctiona;IR_input_from_others;IR_colleagues;IR_technical_conferences;IR_salespersons;IR_written_info;IR_brand;IR_peer_review;IR_previous_use;Ref_peer_reviewed_j;Ref_star_scientist;Ref_high_impact;Ref_industry_coauthor;Ref_firm_coauthor;Ref_in_high_impact_expensiveVSch;IR_colleagues_expensiveVScheap;Patents;ICA_exploration;ICA_firm_creation;ICA_licensing_income;ICA_negotiation_use;ICA_other;ICA_none;sumofpositiveICAS;Papers_published;Impact_factor;@5y_Impact_factor;Publications_HJ;US1EU0;IfindinputfromcolleaguesthatIamcurrentlycollaboratingorhavecolla;Ifindinputfromtechnicalconferencesworkshopsandfairsreliable;Ifindsalespersonsfromthefirmproducingandsellingtheinstrumentreli;Ifindwritteninformationwebsitesbrochuresofthefirmproducingandsel;Ifindthebrandofthefirmproducingandsellingtheinstrumentreliable;Ifindreferencesinpeerreviewedpaperstobereliable;Ifindreferencesinpeerreviewedpapersinhighimpactjournalstoberelia;CompletionStatus;Starttime;Closetime;ResponseDays1beforereminder2after1streminderbefore2nd3after3rdre;Budget_dummy;Age_dummy;Gov_dummy;ICAS_patent;pricemostexp;Response_half;Age_dummy1977;Impact_dummy7;Professor_responsehalf;Assocprofessor_responsehalf;Assistprofessor_responsehalf;Postdoc_responsehalf;PhDstudent_responsehalf;Impact_dummy8;Impact_dummy9;Young_highimpact7;Young_lowimpact7;Young_highlowimpact7;Young_highimpact9;Young_lowimpact9;Young_highlowimpact9
3383;1; ;PhD student;5;2;1985;0; ;4;1;1; ;2;4; ; ; ; ;2;3;4; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41396,75403;0;1; ;0;2; ;2; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
3370;4; ;Post-doc;4;1;1976;1; ; ;1;1;5;2; ;3; ;3;2;2;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41396,7569; ;1; ;0; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; 
236;1; ;Associate professor;2;1;1940;1;1;1;1;1;5;2;4;3; ;2;4;2;2;4;4;5;5;2;2;3;4;4;4;3;2;2;2;2;2;2;2;2;0;0;0;0;0;0;1;0;2;38,59;38,15;1;0;1;2;3;3;2;2;2;Complete / Closed;41396,75711;41396,76373;1;0;0;1; ;2;0;0;1; ;1; ; ; ;1;1; ; ; ; ; ; 
3760;1; ;PhD student;5;1;1984;0;1;2;1;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41396,75763; ;1;0;0;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
4475;1; ;PhD student;5;2;1984;0;2;3;1;1;4;3;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41396,75952; ;1;1;0;2; ;2; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
5070;2; ;PhD student;5;1;1980;0;1;4;1;1;5;2;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41396,76367; ;1;0;0;2; ;2; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
302;2; ;Other;6;1;1958;0;2;1;1;1;2;1;4;2;1;1;4;2;4;4;3;4;4;3;2;4;4;2;3;4;2;4;5;5;5;4;3;2;0;0;0;1;0;1;0;2;3;1,96;1,85;1;0;1;3;4;4;2;2;1;Complete / Closed;41396,76461;41396,77166;1;1;0;1; ;2;0;0;0; ; ; ; ; ;0;0; ; ; ; ; ; 
706;4; ;Post-doc;4;2;1983;1;1;2;1;2;3;2;3;1;2;2;3;2;4;4;3;4;4;3;2;3;2;2;2;2;1;2;3;2;4;4;4;4;1;1;1;0;0;0;0;2;13; ; ;6;0; ; ; ; ; ; ; ;Complete / Closed;41396,76521;41407,5995;1;0;0;1; ;1;0;1; ; ; ; ;1; ; ; ; ; ; ; ; ; 
750;1; ;PhD student;5;1;1986;0;1;4;1;1;4;2;4;2;4;2;3;2;2;3;2;5;3;2;2;3;3;1;4;4;3;3;3;3;3;3;2;2;0;0;0;0;0;0;1;0;0; ; ;0;0; ; ; ; ; ; ; ;Complete / Closed;41396,76542;41407,55872;1;0;0;2; ;2;0;1; ; ; ; ; ;1; ; ; ; ; ; ; ; 
527;4; ;Professor;1;1;1963;1;2;4;1;2;4;1;4;2;4;2;4;4;4;5;5;5;5;1;1;2;3;2;4;2;4;4;5;4;5;5;3;1;0;0;0;0;0;0;1;0;35;31,03;33,587;1;0;1;4;4;4;3;2;3;Complete / Closed;41396,76552;41396,76949;1;1;0;2; ;2;0;0;1;1; ; ; ; ;1;1; ; ; ; ; ; 
